"E8033100","E8043100","E8043500","R0000100","R0070700","R0343700","R0344200","R0344900","R0360300","R0360400","R0360500","R0365900","R0366000","R0536300","R0536401","R0536402","R0648900","R1204500","R1235800","R1482600"
0,0,0,1,1,-4,-4,-4,0,0,0,0,-4,2,9,1981,0,-3,1,4
0,0,0,2,1,-4,-4,-4,0,0,0,0,-4,1,7,1982,-4,-4,1,2
0,0,0,3,1,1,2,1,1,0,0,0,-4,2,9,1983,0,63000,1,2
0,0,0,4,4,-4,-4,-4,1,1,0,0,-4,2,2,1981,0,11700,1,2
0,0,0,5,2,-4,-4,-4,1,1,0,0,-4,1,10,1982,0,-3,1,2
0,0,0,6,3,-4,-4,-4,1,0,0,0,-4,2,1,1982,0,-3,1,2
2,0,0,7,1,1,0,4,0,0,0,0,-4,1,4,1983,0,-3,1,2
0,0,0,8,-2,-4,-4,-4,1,0,0,0,-4,2,6,1981,0,-3,1,4
0,0,0,9,1,-4,-4,-4,-2,0,0,0,-4,1,10,1982,0,-3,1,4
0,0,0,10,1,3,0,1,1,1,0,0,-4,1,3,1984,0,-3,1,4
0,0,0,11,2,-4,-4,-4,1,0,0,0,-4,2,6,1982,0,25000,1,2
0,0,0,12,3,-4,-4,-4,1,0,0,0,-4,1,10,1981,0,0,1,2
3,0,0,13,1,1,0,1,0,0,0,0,-4,1,11,1984,-4,-4,1,2
0,0,0,14,1,-4,-4,-4,0,0,0,0,-4,1,7,1980,0,0,1,2
0,0,0,15,1,3,0,1,1,0,0,0,-4,2,1,1983,-4,-4,1,2
8,0,0,16,4,-4,-4,-4,1,0,0,0,-4,1,2,1982,0,13000,1,2
0,0,0,17,-2,-4,-4,-4,1,1,0,0,-4,2,11,1981,0,3750,1,2
7,0,0,18,4,-4,-4,-4,0,0,0,0,-4,1,2,1982,0,0,1,1
1,1,18,19,1,1,0,6,0,0,0,0,-4,1,4,1984,0,0,1,1
1,0,0,20,1,-4,-4,-4,0,0,0,0,-4,1,12,1980,0,-3,1,1
0,0,0,21,2,-4,-4,-4,1,1,1,0,-4,1,8,1982,0,0,1,2
0,0,0,22,3,-4,-4,-4,1,0,1,0,-4,1,6,1982,0,-3,1,2
0,0,0,23,4,1,0,4,0,0,0,0,-4,2,1,1983,0,-3,1,2
14,0,0,24,2,1,0,2,1,0,1,0,-4,1,6,1984,0,-3,1,2
0,0,0,25,3,-4,-4,-4,1,1,0,0,-4,2,3,1983,0,0,1,2
